3989,11554,COLLEGE
3898,11554,COLLEGE
11566,11554,COLLEGE
11581,11554,COLLEGE
3987,11554,COLLEGE
11600,11554,COLLEGE
11587,11554,COLLEGE
11584,11554,COLLEGE
2689,11554,COLLEGE
11562,11554,COLLEGE
11567,11554,COLLEAGUE
11591,11554,OTHER
11554,3917,COLLEGE
18724,18703,OTHER
18703,18727,COLLEGE
6077,6145,COLLEGE
18703,6145,COLLEGE
18703,11264,COLLEGE
18703,18740,OTHER
18703,18715,COLLEGE
18703,18737,OTHER
18703,18721,COLLEGE
18703,18723,COLLEGE
18703,18739,COLLEGE
18703,18717,COLLEGE
18703,18738,OTHER
18703,18719,COLLEGE
18703,18711,COLLEGE
18703,4997,COLLEAGUE
18703,18730,OTHER
18703,6805,OTHER
18703,18732,OTHER
18703,18733,COLLEAGUE
18703,18736,OTHER
9244,9191,OTHER
13527,9191,COLLEAGUE
21165,9191,COLLEAGUE
15218,9191,OTHER
4917,9191,COLLEAGUE
21162,9191,OTHER
2787,9191,OTHER
21164,9191,OTHER
1023,9191,OTHER
867,9191,OTHER
4959,9191,COLLEAGUE
883,9191,COLLEAGUE
10457,9191,COLLEAGUE
18694,9191,COLLEAGUE
9191,21186,COLLEGE
9191,15248,OTHER
9191,2817,COLLEAGUE
8538,8611,OTHER
9191,8611,COLLEAGUE
9191,21156,OTHER
9191,21149,COLLEAGUE
4253,88,COLLEAGUE
9191,88,OTHER
6912,88,COLLEGE
9191,13590,COLLEAGUE
4917,13590,COLLEGE
9191,21182,OTHER
9191,21148,COLLEAGUE
16432,16377,COLLEGE
16433,16377,COLLEGE
16513,16377,COLLEGE
16504,16377,OTHER
16592,16377,COLLEGE
16573,16377,OTHER
16399,16377,COLLEGE
16434,16377,OTHER
13506,16377,COLLEGE
16466,16377,COLLEGE
2503,16377,COLLEGE
16495,16377,COLLEGE
16518,16377,COLLEGE
16419,16377,OTHER
16585,16377,OTHER
16559,16377,OTHER
16570,16377,OTHER
16441,16377,OTHER
16609,16377,OTHER
16408,16377,OTHER
9191,10935,COLLEAGUE
16377,10935,COLLEGE
11306,10935,COLLEGE
9191,21175,COLLEAGUE
